meal_name,price,hot_or_cold,cuisine_type,meal_category,cooking_method,meat_1,meat_2,meat_3,carbs_1,carbs_2,veggie_1,veggie_2,veggie_3,dairy_1,dairy_2,dairy_3,dairy_4,gluten_free,halal,flavouring,restaurant_ID
Cheese Mushroom & Fresh Chilli,$17.00,Hot,Mediterranean,Main,Baked,NA,NA,NA,Bread,NA,Mushroom,Chilli,NA,Mozzarella,NA,NA,NA,No,Yes,Chilli,7
Minced Lamb,$18.00,Hot,Mediterranean,Main,Baked,Lamb,NA,NA,Bread,NA,Capsicum,Onion,NA,NA,NA,NA,NA,No,Yes,Herbs,7
Spinach & Feta,$17.00,Hot,Mediterranean,Main,Baked,NA,NA,NA,Bread,NA,Spinach,NA,NA,Feta,Mozzarella,NA,NA,No,Yes,Salt,7
Vegetarian,$18.00,Hot,Mediterranean,Main,Baked,NA,NA,NA,Bread,NA,Eggplant,Zucchini,NA,Feta,Mozzarella,NA,NA,No,Yes,Salt,7
Sucuk & Egg,$19.00,Hot,Mediterranean,Main,Baked,Turkish sausage,Egg,NA,Bread,NA,NA,NA,NA,Mozzarella,NA,NA,NA,No,Yes,Chilli,7
Chicken & Mushroom,$18.00,Hot,Mediterranean,Main,Baked,Chicken,NA,NA,Bread,NA,Mushroom,Capsicum,NA,Mozzarella,NA,NA,NA,No,Yes,Herbs,7
Prawns,$19.50,Hot,Mediterranean,Main,Baked,Prawns,NA,NA,Bread,NA,Chilli,NA,NA,Mozzarella,NA,NA,NA,No,Yes,Garlic,7
Sahara Special,$19.00,Hot,Mediterranean,Main,Baked,Turkish sausage,Egg,NA,Bread,NA,Spinach,NA,NA,Mozzarella,NA,NA,NA,No,Yes,Herbs,7
Adana Shish,$25.50,Hot,Mediterranean,Main,Chargrilled,Lamb,NA,NA,Bread & Rice,NA,Mixed,Mixed,NA,NA,NA,NA,NA,No,Yes,Charcoal,7
Chicken Shish,$25.50,Hot,Mediterranean,Main,Chargrilled,Chicken,NA,NA,Bread & Rice,NA,Mixed,Mixed,NA,NA,NA,NA,NA,No,Yes,Charcoal,7
Lamb Shish,$26.50,Hot,Mediterranean,Main,Chargrilled,Lamb,NA,NA,Bread & Rice,NA,Mixed,Mixed,NA,NA,NA,NA,NA,No,Yes,Charcoal,7
Chargrill,$29.50,Hot,Mediterranean,Main,Chargrilled,Lamb,Chicken,NA,Bread & Rice,NA,Mixed,Mixed,NA,NA,NA,NA,NA,No,Yes,Charcoal,7
Lamb Cutlets,$29.50,Hot,Mediterranean,Main,Grilled,Lamb,NA,NA,Starch,NA,Potatoes,Mixed,NA,NA,NA,NA,NA,No,Yes,Salt,7
1KG Beef Ribs,$29.50,Hot,Mediterranean,Main,Grilled,Beef,NA,NA,Starch,NA,Potatoes,Mixed,NA,NA,NA,NA,NA,No,Yes,Salt,7
300G Eye Fillet Steak,$29.50,Hot,Mediterranean,Main,Grilled,Beef,NA,NA,Starch,NA,Potatoes,Mixed,NA,NA,NA,NA,NA,No,Yes,Pepper,7
Mixed Grill,$29.50,Hot,Mediterranean,Main,Grilled,Lamb,Chicken,NA,Bread & Rice,NA,Mixed,Mixed,NA,NA,NA,NA,NA,No,Yes,Charcoal,7
Barramundi,$25.50,Hot,Mediterranean,Main,Grilled,Fish,NA,NA,Starch,NA,Potatoes,Mixed,NA,NA,NA,NA,NA,No,Yes,Salt,7
Chicken Sahara,$25.50,Hot,Mediterranean,Main,Grilled,Chicken,NA,NA,Starch,NA,Potatoes,Mixed,NA,Cream,NA,NA,NA,No,Yes,Orange,7
Salmon Fillet,$27.50,Hot,Mediterranean,Main,Grilled,Fish,NA,NA,Starch,NA,Potatoes,Mixed,NA,Cream,NA,NA,NA,No,Yes,Mustard,7
Mushroom Chicken,$26.50,Hot,Mediterranean,Main,Grilled,Chicken,NA,NA,Starch,NA,Potatoes,Mushroom,NA,Cream,NA,NA,NA,No,Yes,Mushroom,7
Garlic Chicken,$26.50,Hot,Mediterranean,Main,Grilled,Chicken,NA,NA,Starch,NA,Potatoes,Mixed,NA,Cream,NA,NA,NA,No,Yes,Garlic,7
Slow Cooked Lamb Shanks,$28.50,Hot,Mediterranean,Main,Braised,Lamb,NA,NA,Rice,NA,Mixed,Mixed,NA,NA,NA,NA,NA,No,Yes,Salt,7
Iskender,$22.50,Hot,Mediterranean,Main,Grilled,Lamb,NA,NA,Bread,NA,Mixed,Mixed,NA,Yoghurt,NA,NA,NA,No,Yes,Garlic & Yoghurt,7
Guvec,$24.50,Hot,Mediterranean,Main,Stewed,Mixed,NA,NA,Rice,NA,Eggplant,Potatoes,NA,NA,NA,NA,NA,No,Yes,Garlic,7
Sac Kavurma,$26.50,Hot,Mediterranean,Main,Stirfried,Lamb,NA,NA,Rice,NA,Capsicum,Mushroom,NA,NA,NA,NA,NA,No,Yes,Salt,7
Nuggets and Chips,$10.50,Hot,Mediterranean,Main,Fried,Chicken,NA,NA,Starch,NA,Potatoes,NA,NA,NA,NA,NA,NA,No,Yes,Tomato,7
Italian Prawns,$15.00,Hot,Italian,Entree,Pan fried,Prawns,NA,NA,NA,NA,Garlic,Chilli,NA,Cream,NA,NA,NA,No,No,Tomato,2
Garlic Prawns,$15.00,Hot,Italian,Entree,Pan fried,Prawns,NA,NA,NA,NA,Garlic,NA,NA,Na,NA,NA,NA,No,No,Garlic & Herbs,2
Trangles,$12.00,Hot,Italian,Entree,Baked,NA,NA,NA,Filo pastry,NA,Spinach,NA,NA,Feta,NA,NA,NA,No,No,Cheesy,2
Bruschetta,$8.00,Cold,Italian,Entree,Cured,Bruchetta,NA,NA,NA,NA,Tomatoes,Basil,NA,Na,NA,NA,NA,No,No,Salty,2
Italian Salad,$6.00,Cold,Italian,Sides,Uncooked,NA,NA,NA,NA,NA,Tomatoes,Lettuce,NA,Na,NA,NA,NA,Yes,No,Italian,2
Greek Salad,$8.00,Cold,Italian,Sides,Uncooked,NA,NA,NA,NA,NA,Tomatoes,Lettuce,NA,Na,Feta,NA,NA,No,No,Italian,2
Garlic Bread,$2.00,Hot,Italian,Sides,Baked,NA,NA,NA,Bread,NA,Garlic,NA,NA,Na,NA,NA,NA,No,No,Garlic,2
Prawn Pizzette,$14.00,Hot,Italian,Sides,Baked,Prawns,NA,NA,Pizza Dough,NA,Garlic,Oregano,NA,Na,NA,NA,NA,No,No,Garlic & Herbs,2
Prosciuto Pizzette,$14.00,Hot,Italian,Sides,Baked,Prosciuto,NA,NA,Pizza Dough,NA,Tomatoes,Basil,NA,Ricotta,NA,NA,NA,No,No,Tomato,2
Quattro Formaggi Pizzette,$14.00,Hot,Italian,Sides,Baked,NA,NA,NA,Pizza Dough,NA,NA,NA,NA,Gorgonzola,Boconccini,Pecorino,Provolone,No,No,Cheesy,2
Chocolate Gelato,$5.00,Cold,Italian,Dessert,Frozen,NA,NA,NA,Sugar,NA,NA,NA,NA,Milk,NA,NA,NA,No,No,Chocolate,2
Tiramisu Gelato,$5.00,Cold,Italian,Dessert,Frozen,NA,NA,NA,Sugar,NA,NA,NA,NA,Milk,NA,NA,NA,No,No,Tiramisu,2
Lemon Gelato,$5.00,Cold,Italian,Dessert,Frozen,NA,NA,NA,Sugar,NA,NA,NA,NA,Milk,NA,NA,NA,No,No,Lemon,2
Vanilla Gelato,$5.00,Cold,Italian,Dessert,Frozen,NA,NA,NA,Sugar,NA,NA,NA,NA,Milk,NA,NA,NA,No,No,Vanilla Bean,2
Pistachio Gelato,$5.00,Cold,Italian,Dessert,Frozen,NA,NA,NA,Sugar,NA,NA,NA,NA,Milk,NA,NA,NA,No,No,Pistachio,2
Strawberry Gelato,$5.00,Cold,Italian,Dessert,Frozen,NA,NA,NA,Sugar,NA,NA,NA,NA,Milk,NA,NA,NA,No,No,Strawberry,2
Mango Gelato,$5.00,Cold,Italian,Dessert,Frozen,NA,NA,NA,Sugar,NA,NA,NA,NA,Milk,NA,NA,NA,No,No,Mango,2
Home Made Tiramisu,$8.00,Cold,Italian,Dessert,Cake,NA,NA,NA,Biscuit,Sponge Finger,NA,NA,NA,Cream,NA,NA,NA,No,No,Coffee,2
Assortment Cakes,$8.00,Cold,Italian,Dessert,Cake,NA,NA,NA,Sugar,Flour,NA,NA,NA,Cream,NA,NA,NA,No,No,Sweet,2
Coffee,$3.50,Hot,Italian,Beverage,Brewed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,Coffee,2
Hot Chocolate,$3.50,Hot,Italian,Beverage,Brewed,NA,NA,NA,NA,NA,NA,NA,NA,Milk,NA,NA,NA,No,No,Chocolate,2
Tea,$3.00,Hot,Italian,Beverage,Brewed,NA,NA,NA,NA,NA,NA,NA,NA,Milk,NA,NA,NA,No,No,Black,2
Spagetti Bolognese,$16.00,Hot,Italian,Pasta,Stewed,Beef,NA,NA,Spagetti,NA,Tomatoes,Parsley,NA,NA,NA,NA,NA,No,No,Tomato,2
Penne Bolognese,$16.00,Hot,Italian,Pasta,Stewed,Beef,NA,NA,Penne,NA,Tomatoes,Parsley,NA,NA,NA,NA,NA,No,No,Tomato,2
Fettuccine Bolognese,$16.00,Hot,Italian,Pasta,Stewed,Beef,NA,NA,Fettuccine,NA,Tomatoes,Parsley,NA,NA,NA,NA,NA,No,No,Tomato,2
Gnochi Bolognese,$16.00,Hot,Italian,Pasta,Stewed,Beef,NA,NA,Gnochi,NA,Tomatoes,Parsley,NA,NA,NA,NA,NA,No,No,Tomato,2
Spagetti Carbonara,$18.00,Hot,Italian,Pasta,Stewed,Bacon,Egg,NA,Spagetti,NA,Onion,Herbs,NA,Cream,NA,NA,NA,No,No,Cream,2
Penne Carbonara,$18.00,Hot,Italian,Pasta,Stewed,Bacon,Egg,NA,Penne,NA,Onion,Herbs,NA,Cream,NA,NA,NA,No,No,Cream,2
Fettuccine Carbonara,$18.00,Hot,Italian,Pasta,Stewed,Bacon,Egg,NA,Fettuccine,NA,Onion,Herbs,NA,Cream,NA,NA,NA,No,No,Cream,2
Gnochi Carbonara,$18.00,Hot,Italian,Pasta,Stewed,Bacon,Egg,NA,Gnochi,NA,Onion,Herbs,NA,Cream,NA,NA,NA,No,No,Cream,2
Spagetti Napolitana,$16.00,Hot,Italian,Pasta,Stewed,NA,NA,NA,Spagetti,NA,Onion,Tomato,Garlic,NA,NA,NA,NA,No,No,Tomato,2
Penne Napolitana,$16.00,Hot,Italian,Pasta,Stewed,NA,NA,NA,Penne,NA,Onion,Tomato,Garlic,NA,NA,NA,NA,No,No,Tomato,2
Fettuccine Napolitana,$16.00,Hot,Italian,Pasta,Stewed,NA,NA,NA,Fettuccine,NA,Onion,Tomato,Garlic,NA,NA,NA,NA,No,No,Tomato,2
Gnochi Napolitana,$16.00,Hot,Italian,Pasta,Stewed,NA,NA,NA,Gnochi,NA,Onion,Tomato,Garlic,NA,NA,NA,NA,No,No,Tomato,2
Spagetti Pesto,$16.00,Hot,Italian,Pasta,Stewed,NA,NA,NA,Spagetti,Pine nuts,Basil,Garlic,NA,Cream,NA,NA,NA,No,No,Pesto,2
Penne Pesto,$16.00,Hot,Italian,Pasta,Stewed,NA,NA,NA,Penne,Pine nuts,Basil,Garlic,NA,Cream,NA,NA,NA,No,No,Pesto,2
Fettuccine Pesto,$16.00,Hot,Italian,Pasta,Stewed,NA,NA,NA,Fettuccine,Pine nuts,Basil,Garlic,NA,Cream,NA,NA,NA,No,No,Pesto,2
